Date,Min,Max
2023-08-20,27.8,39.15
2023-08-21,27.59,41.11
2023-08-22,28.15,37.16
2023-08-23,26.67,36.61
2023-08-24,27.46,38.72
2023-08-25,26.8,41.15
2023-08-26,26.72,38.59
